RBF_LQP1 Average TNR,RBF_LQP1 Average TPR,RBF_LQP1 Average Test Score,RBF_LQP1 Average Test Score Std,RBF_LQP1 Model,RBF_SQP Average TNR,RBF_SQP Average TPR,RBF_SQP Average Test Score,RBF_SQP Average Test Score Std,RBF_SQP Model,RBF_LQP2 Average TNR,RBF_LQP2 Average TPR,RBF_LQP2 Average Test Score,RBF_LQP2 Average Test Score Std,RBF_LQP2 Model,LINEAR_LQP1 Average TNR,LINEAR_LQP1 Average TPR,LINEAR_LQP1 Average Test Score,LINEAR_LQP1 Average Test Score Std,LINEAR_LQP1 Model,LINEAR_SQP Average TNR,LINEAR_SQP Average TPR,LINEAR_SQP Average Test Score,LINEAR_SQP Average Test Score Std,LINEAR_SQP Model,LINEAR_LQP2 Average TNR,LINEAR_LQP2 Average TPR,LINEAR_LQP2 Average Test Score,LINEAR_LQP2 Average Test Score Std,LINEAR_LQP2 Model,OLD_LQP1 Average TNR,OLD_LQP1 Average TPR,OLD_LQP1 Average Test Score,OLD_LQP1 Average Test Score Std,OLD_LQP1 Model,OLD_SQP Average TNR,OLD_SQP Average TPR,OLD_SQP Average Test Score,OLD_SQP Average Test Score Std,OLD_SQP Model,OLD_LQP2 Average TNR,OLD_LQP2 Average TPR,OLD_LQP2 Average Test Score,OLD_LQP2 Average Test Score Std,OLD_LQP2 Model
87.11,96.07,91.59,,,87.11,89.89,88.5,,,87.11,52.19,69.65,,,85.85,95.37,90.61,,,85.85,93.74,89.8,,,85.85,55.48,70.67,,,93.0,80.33,86.67,,,0.0,100.0,50.0,,,32.33,83.0,57.67,,
85.22,94.93,90.07,,,85.22,91.48,88.35,,,85.22,55.26,70.24,,,85.48,97.78,91.63,,,85.48,92.7,89.09,,,85.48,47.96,66.72,,,88.0,86.0,87.0,,,42.0,60.33,51.17,,,35.67,81.67,58.67,,
89.44,95.56,92.5,,,89.44,83.44,86.44,,,89.44,41.33,65.39,,,83.22,96.67,89.94,,,83.22,87.96,85.59,,,83.22,50.44,66.83,,,81.33,87.0,84.17,,,99.0,1.33,50.17,,,25.33,86.0,55.67,,
89.85,94.11,91.98,,,89.85,91.26,90.56,,,89.85,45.7,67.78,,,85.0,94.3,89.65,,,85.0,93.81,89.41,,,85.0,49.56,67.28,,,86.0,85.33,85.67,,,0.0,100.0,50.0,,,32.33,80.67,56.5,,
88.44,95.44,91.94,,,88.44,92.3,90.37,,,88.44,51.63,70.04,,,86.07,96.37,91.22,,,86.07,95.85,90.96,,,86.07,50.33,68.2,,,85.67,89.0,87.33,,,46.33,57.67,52.0,,,34.33,84.67,59.5,,
87.59,95.41,91.5,,,87.59,88.33,87.96,,,87.59,44.78,66.19,,,90.78,96.04,93.41,,,90.78,90.0,90.39,,,90.78,42.22,66.5,,,92.67,79.33,86.0,,,0.0,100.0,50.0,,,34.0,79.0,56.5,,
84.59,95.67,90.13,,,84.59,89.41,87.0,,,84.59,47.56,66.07,,,82.93,98.0,90.46,,,82.93,91.89,87.41,,,82.93,53.3,68.11,,,94.0,81.0,87.5,,,0.0,100.0,50.0,,,29.67,84.33,57.0,,
80.48,98.33,89.41,,,80.48,95.48,87.98,,,80.48,57.37,68.93,,,79.48,97.56,88.52,,,79.48,92.93,86.2,,,79.48,52.52,66.0,,,85.67,91.67,88.67,,,42.0,58.67,50.33,,,29.0,87.0,58.0,,
83.37,95.96,89.67,,,83.37,90.19,86.78,,,83.37,53.11,68.24,,,82.81,96.93,89.87,,,82.81,89.63,86.22,,,82.81,54.41,68.61,,,92.33,79.33,85.83,,,41.67,59.67,50.67,,,37.0,77.0,57.0,,
84.48,95.89,90.19,,,84.48,86.81,85.65,,,84.48,56.0,70.24,,,84.07,97.63,90.85,,,84.07,93.89,88.98,,,84.07,56.56,70.31,,,92.67,86.33,89.5,,,0.0,100.0,50.0,,,25.67,86.67,56.17,,
86.06,95.74,90.9,1.11,RBF_LQP1_MEAN,86.06,89.86,87.96,1.6,RBF_SQP_MEAN,86.06,50.49,68.28,1.85,RBF_LQP2_MEAN,84.57,96.66,90.62,1.32,LINEAR_LQP1_MEAN,84.57,92.24,88.41,1.91,LINEAR_SQP_MEAN,84.57,51.28,67.92,1.58,LINEAR_LQP2_MEAN,89.13,84.53,86.83,1.54,OLD_LQP1_MEAN,27.1,73.77,50.43,0.67,OLD_SQP_MEAN,31.53,83.0,57.27,1.19,OLD_LQP2_MEAN
