LINEAR_LQP1 Average TNR,LINEAR_LQP1 Average TPR,LINEAR_LQP1 Average Test Score,LINEAR_LQP1 Average Test Score Std,LINEAR_LQP1 Model,LINEAR_SQP Average TNR,LINEAR_SQP Average TPR,LINEAR_SQP Average Test Score,LINEAR_SQP Average Test Score Std,LINEAR_SQP Model,LINEAR_LQP2 Average TNR,LINEAR_LQP2 Average TPR,LINEAR_LQP2 Average Test Score,LINEAR_LQP2 Average Test Score Std,LINEAR_LQP2 Model,OLD_LQP1 Average TNR,OLD_LQP1 Average TPR,OLD_LQP1 Average Test Score,OLD_LQP1 Average Test Score Std,OLD_LQP1 Model,OLD_SQP Average TNR,OLD_SQP Average TPR,OLD_SQP Average Test Score,OLD_SQP Average Test Score Std,OLD_SQP Model,OLD_LQP2 Average TNR,OLD_LQP2 Average TPR,OLD_LQP2 Average Test Score,OLD_LQP2 Average Test Score Std,OLD_LQP2 Model
90.2222,93.8148,92.0185,,,90.037,76.3333,83.1852,,,90.037,37.5926,63.8148,,,90.3333,80.0,85.1667,,,90.3333,4.0,47.1667,,,90.3333,1.6667,46.0,,
90.2222,90.6296,90.4259,,,90.0741,72.2593,81.1667,,,89.963,33.6667,61.8148,,,90.3333,81.0,85.6667,,,90.3333,4.0,47.1667,,,90.3333,0.3333,45.3333,,
90.0741,95.2963,92.6852,,,90.0,81.1481,85.5741,,,90.0,39.9259,64.963,,,90.0,84.6667,87.3333,,,90.0,3.3333,46.6667,,,90.0,0.3333,45.1667,,
90.1111,95.4444,92.7778,,,89.9259,82.6296,86.2778,,,90.1111,38.4074,64.2593,,,90.0,84.0,87.0,,,90.0,4.6667,47.3333,,,90.0,1.3333,45.6667,,
90.0741,94.2963,92.1852,,,90.0741,85.3333,87.7037,,,90.1111,37.2963,63.7037,,,90.3333,81.6667,86.0,,,90.3333,5.6667,48.0,,,90.3333,1.3333,45.8333,,
90.2593,93.1111,91.6852,,,90.037,86.1111,88.0741,,,90.0741,40.4074,65.2407,,,90.6667,80.6667,85.6667,,,90.6667,4.0,47.3333,,,90.6667,1.0,45.8333,,
90.2222,90.3704,90.2963,,,90.1111,77.8519,83.9815,,,90.0741,33.8519,61.963,,,90.3333,82.0,86.1667,,,90.3333,3.0,46.6667,,,90.3333,1.0,45.6667,,
89.8519,90.1111,89.9815,,,90.0,85.1852,87.5926,,,90.037,43.6667,66.8519,,,90.0,82.0,86.0,,,90.0,5.6667,47.8333,,,90.0,1.3333,45.6667,,
90.2222,91.1852,90.7037,,,90.2222,70.0,80.1111,,,90.0741,36.1481,63.1111,,,90.3333,78.3333,84.3333,,,90.3333,4.3333,47.3333,,,90.3333,0.6667,45.5,,
90.2963,94.9259,92.6111,,,90.037,85.1852,87.6111,,,90.037,39.6667,64.8519,,,90.0,82.6667,86.3333,,,90.0,5.0,47.5,,,90.0,1.3333,45.6667,,
90.16,92.92,91.54,1.08,LINEAR_LQP1_MEAN,90.05,80.2,85.13,2.89,LINEAR_SQP_MEAN,90.05,38.06,64.06,1.53,LINEAR_LQP2_MEAN,90.23,81.7,85.97,0.86,OLD_LQP1_MEAN,90.23,4.37,47.3,0.43,OLD_SQP_MEAN,90.23,1.03,45.63,0.25,OLD_LQP2_MEAN
